Price,Regionname
988000,Western Metropolitan
590000,Western Metropolitan
590000,Western Metropolitan
610000,Western Metropolitan
524875,Western Metropolitan
815000,Western Metropolitan
970000,Western Metropolitan
840000,Western Metropolitan
840000,Western Metropolitan
760000,Western Metropolitan
852500,Western Metropolitan
847500,Western Metropolitan
1200000,Western Metropolitan
630000,Western Metropolitan
767212,Western Metropolitan
700000,Western Metropolitan
625000,Western Metropolitan
292000,Western Metropolitan
640000,Western Metropolitan
800000,Western Metropolitan
1773554,Southern Metropolitan
599000,Southern Metropolitan
550000,Southern Metropolitan
995000,Southern Metropolitan
1205000,Southern Metropolitan
1773554,Southern Metropolitan
2675000,Southern Metropolitan
1939000,Southern Metropolitan
421500,Southern Metropolitan
585000,Southern Metropolitan
2050000,Southern Metropolitan
1870000,Southern Metropolitan
3607571,Southern Metropolitan
678000,Southern Metropolitan
980460,Southern Metropolitan
1773554,Southern Metropolitan
1918000,Southern Metropolitan
480577,Southern Metropolitan
660000,Southern Metropolitan
2050000,Southern Metropolitan
3607571,Southern Metropolitan
980460,Southern Metropolitan
700000,Southern Metropolitan
3625000,Southern Metropolitan
3000000,Southern Metropolitan
1930000,Southern Metropolitan
3607571,Southern Metropolitan
735000,Southern Metropolitan
825000,Southern Metropolitan
1586000,Southern Metropolitan
3607571,Southern Metropolitan
1773554,Southern Metropolitan
980460,Southern Metropolitan
645000,Southern Metropolitan
1435000,Southern Metropolitan
3607571,Southern Metropolitan
400000,Southern Metropolitan
3607571,Southern Metropolitan
1780000,Southern Metropolitan
1773554,Southern Metropolitan
592500,Southern Metropolitan
1773554,Southern Metropolitan
1210000,Southern Metropolitan
2801000,Southern Metropolitan
1773554,Southern Metropolitan
1773554,Southern Metropolitan
1773554,Southern Metropolitan
390000,Southern Metropolitan
1773554,Southern Metropolitan
1800000,Southern Metropolitan
3607571,Southern Metropolitan
2200000,Southern Metropolitan
3607571,Southern Metropolitan
324000,Southern Metropolitan
1773554,Southern Metropolitan
980460,Southern Metropolitan
980460,Southern Metropolitan
1773554,Southern Metropolitan
980460,Southern Metropolitan
3607571,Southern Metropolitan
1125000,Southern Metropolitan
2250000,Southern Metropolitan
2360000,Southern Metropolitan
1900000,Southern Metropolitan
440000,Southern Metropolitan
980460,Southern Metropolitan
980460,Southern Metropolitan
490000,Southern Metropolitan
1773554,Southern Metropolitan
2365000,Southern Metropolitan
1300000,Southern Metropolitan
980460,Southern Metropolitan
732000,Southern Metropolitan
704000,Southern Metropolitan
3607571,Southern Metropolitan
980460,Southern Metropolitan
620000,Southern Metropolitan
1900000,Southern Metropolitan
1773554,Southern Metropolitan
1773554,Southern Metropolitan
980460,Southern Metropolitan
315000,Southern Metropolitan
1773554,Southern Metropolitan
1992000,Southern Metropolitan
450000,Southern Metropolitan
710000,Southern Metropolitan
872000,Southern Metropolitan
598000,Southern Metropolitan
1773554,Southern Metropolitan
1285000,Southern Metropolitan
3660000,Southern Metropolitan
1773554,Southern Metropolitan
980460,Southern Metropolitan
520000,Southern Metropolitan
2760000,Southern Metropolitan
3607571,Southern Metropolitan
690000,Southern Metropolitan
3625000,Southern Metropolitan
1101000,Southern Metropolitan
3512500,Southern Metropolitan
980460,Southern Metropolitan
980460,Southern Metropolitan
2000000,Southern Metropolitan
1773554,Southern Metropolitan
869000,Southern Metropolitan
577000,Southern Metropolitan
1773554,Southern Metropolitan
980460,Southern Metropolitan
2865000,Southern Metropolitan
565000,Southern Metropolitan
567000,Southern Metropolitan
546000,Southern Metropolitan
980460,Southern Metropolitan
471500,Southern Metropolitan
1077600,Western Metropolitan
940000,Western Metropolitan
467000,Western Metropolitan
1077600,Western Metropolitan
895000,Western Metropolitan
1380000,Western Metropolitan
490000,Western Metropolitan
1850000,Western Metropolitan
1284000,Western Metropolitan
971000,Western Metropolitan
710000,Western Metropolitan
2425000,Western Metropolitan
750000,Western Metropolitan
840000,Western Metropolitan
1053000,Western Metropolitan
1377000,Western Metropolitan
970000,Western Metropolitan
940000,Western Metropolitan
751000,Western Metropolitan
950000,Western Metropolitan
1077600,Western Metropolitan
685000,Western Metropolitan
1374620,Western Metropolitan
1230000,Western Metropolitan
636500,Western Metropolitan
910000,Western Metropolitan
872500,Western Metropolitan
770000,Western Metropolitan
490000,Western Metropolitan
960000,Western Metropolitan
890000,Western Metropolitan
965000,Western Metropolitan
1374620,Western Metropolitan
1200000,Western Metropolitan
1440000,Western Metropolitan
955000,Western Metropolitan
450000,Western Metropolitan
801000,Western Metropolitan
1374620,Western Metropolitan
770000,Western Metropolitan
1000000,Western Metropolitan
1435000,Western Metropolitan
390000,Western Metropolitan
1425000,Western Metropolitan
925000,Western Metropolitan
1340000,Western Metropolitan
955000,Western Metropolitan
1075000,Western Metropolitan
1100000,Western Metropolitan
1255000,Western Metropolitan
1483000,Western Metropolitan
432000,Western Metropolitan
1640000,Western Metropolitan
1430000,Western Metropolitan
610000,Western Metropolitan
940000,Western Metropolitan
890000,Western Metropolitan
1505000,Western Metropolitan
1180000,Western Metropolitan
1480000,Western Metropolitan
1150000,Western Metropolitan
1350000,Western Metropolitan
1905000,Western Metropolitan
865000,Western Metropolitan
705000,Western Metropolitan
442000,Western Metropolitan
540000,Western Metropolitan
1037500,Western Metropolitan
1050000,Western Metropolitan
2035000,Western Metropolitan
440000,Western Metropolitan
1010000,Western Metropolitan
1430000,Western Metropolitan
570000,Western Metropolitan
690000,Western Metropolitan
1374620,Western Metropolitan
1070000,Western Metropolitan
1291000,Western Metropolitan
1077600,Western Metropolitan
1130000,Western Metropolitan
1135000,Western Metropolitan
950000,Western Metropolitan
790000,Western Metropolitan
1077600,Western Metropolitan
390000,Western Metropolitan
1345000,Western Metropolitan
296000,Western Metropolitan
1381500,Western Metropolitan
940000,Western Metropolitan
995000,Western Metropolitan
1050000,Western Metropolitan
786000,Western Metropolitan
705000,Western Metropolitan
660000,Western Metropolitan
760000,Western Metropolitan
487500,Western Metropolitan
1125000,Western Metropolitan
1000000,Western Metropolitan
1110000,Western Metropolitan
1300000,Western Metropolitan
1060000,Western Metropolitan
1410000,Western Metropolitan
1305000,Western Metropolitan
932500,Western Metropolitan
965000,Western Metropolitan
1215000,Western Metropolitan
545000,Western Metropolitan
1800000,Western Metropolitan
840000,Western Metropolitan
1705000,Western Metropolitan
970000,Western Metropolitan
925000,Western Metropolitan
2650000,Southern Metropolitan
1820000,Southern Metropolitan
1670000,Southern Metropolitan
955000,Southern Metropolitan
2050000,Southern Metropolitan
1506365,Southern Metropolitan
500000,Southern Metropolitan
1575000,Southern Metropolitan
1991000,Southern Metropolitan
1425000,Southern Metropolitan
1555000,Southern Metropolitan
1417000,Southern Metropolitan
1849442,Southern Metropolitan
1850000,Southern Metropolitan
1380800,Southern Metropolitan
780000,Southern Metropolitan
1942000,Southern Metropolitan
1100000,Southern Metropolitan
1337000,Southern Metropolitan
2950000,Southern Metropolitan
2215000,Southern Metropolitan
1880000,Southern Metropolitan
1518000,Southern Metropolitan
1710000,Southern Metropolitan
1506365,Southern Metropolitan
1506365,Southern Metropolitan
1655000,Southern Metropolitan
1340000,Southern Metropolitan
1445000,Southern Metropolitan
1500000,Southern Metropolitan
1849442,Southern Metropolitan
1550000,Southern Metropolitan
1356000,Southern Metropolitan
1662000,Southern Metropolitan
1665000,Southern Metropolitan
1506365,Southern Metropolitan
1506365,Southern Metropolitan
1445000,Southern Metropolitan
1600000,Southern Metropolitan
980000,Southern Metropolitan
1300000,Southern Metropolitan
1506365,Southern Metropolitan
1849442,Southern Metropolitan
1380800,Southern Metropolitan
3510000,Southern Metropolitan
1730000,Southern Metropolitan
1506365,Southern Metropolitan
968000,Southern Metropolitan
900000,Southern Metropolitan
1570000,Southern Metropolitan
1500000,Southern Metropolitan
1360000,Southern Metropolitan
2752000,Southern Metropolitan
1849442,Southern Metropolitan
1600000,Southern Metropolitan
1506365,Southern Metropolitan
1500000,Southern Metropolitan
1380800,Southern Metropolitan
1430000,Southern Metropolitan
1601000,Southern Metropolitan
1650000,Southern Metropolitan
1800000,Southern Metropolitan
1610000,Southern Metropolitan
1849442,Southern Metropolitan
1849442,Southern Metropolitan
1830000,Southern Metropolitan
1506365,Southern Metropolitan
1415000,Southern Metropolitan
1440000,Southern Metropolitan
1250000,Southern Metropolitan
1422000,Southern Metropolitan
1600000,Southern Metropolitan
1860000,Southern Metropolitan
1710000,Southern Metropolitan
1506365,Southern Metropolitan
1790000,Southern Metropolitan
1950000,Southern Metropolitan
1600000,Southern Metropolitan
1320000,Southern Metropolitan
1650000,Southern Metropolitan
1280000,Southern Metropolitan
1094856,Southern Metropolitan
995000,Southern Metropolitan
1094856,Southern Metropolitan
1250000,Southern Metropolitan
1094856,Southern Metropolitan
1045000,Southern Metropolitan
1200000,Southern Metropolitan
1075000,Southern Metropolitan
1324417,Southern Metropolitan
1500000,Southern Metropolitan
1120000,Southern Metropolitan
700000,Southern Metropolitan
761000,Southern Metropolitan
1270000,Southern Metropolitan
1510000,Southern Metropolitan
1365000,Southern Metropolitan
1100000,Southern Metropolitan
675000,Southern Metropolitan
1094856,Southern Metropolitan
1232800,Southern Metropolitan
1170000,Southern Metropolitan
1094856,Southern Metropolitan
1415000,Southern Metropolitan
690000,Southern Metropolitan
1631000,Southern Metropolitan
1094856,Southern Metropolitan
1500000,Southern Metropolitan
690000,Southern Metropolitan
1094856,Southern Metropolitan
1060000,Southern Metropolitan
875000,Southern Metropolitan
1529500,Southern Metropolitan
1250000,Southern Metropolitan
1200000,Southern Metropolitan
1324417,Southern Metropolitan
600000,Southern Metropolitan
980000,Southern Metropolitan
1094856,Southern Metropolitan
535000,Southern Metropolitan
1230000,Southern Metropolitan
1324417,Southern Metropolitan
1094856,Southern Metropolitan
785000,Southern Metropolitan
1240000,Southern Metropolitan
1094856,Southern Metropolitan
700000,Southern Metropolitan
880000,Southern Metropolitan
1324417,Southern Metropolitan
675000,Southern Metropolitan
1324417,Southern Metropolitan
1350000,Southern Metropolitan
1110000,Southern Metropolitan
1305000,Southern Metropolitan
1324417,Southern Metropolitan
855000,Southern Metropolitan
900000,Southern Metropolitan
1400000,Southern Metropolitan
1324417,Southern Metropolitan
964000,Southern Metropolitan
1094856,Southern Metropolitan
900500,Southern Metropolitan
1324417,Southern Metropolitan
1324417,Southern Metropolitan
1529500,Southern Metropolitan
1200000,Southern Metropolitan
1094856,Southern Metropolitan
830000,Southern Metropolitan
1094856,Southern Metropolitan
1310000,Western Metropolitan
850000,Western Metropolitan
750000,Western Metropolitan
851000,Western Metropolitan
1012419,Western Metropolitan
848000,Western Metropolitan
806000,Western Metropolitan
1155000,Western Metropolitan
670000,Western Metropolitan
1200000,Western Metropolitan
655000,Western Metropolitan
757417,Western Metropolitan
680000,Western Metropolitan
757417,Western Metropolitan
1160000,Western Metropolitan
560000,Western Metropolitan
750000,Western Metropolitan
627500,Western Metropolitan
880000,Western Metropolitan
825000,Western Metropolitan
1372000,Western Metropolitan
950000,Western Metropolitan
757417,Western Metropolitan
1200000,Western Metropolitan
1600000,Western Metropolitan
825000,Western Metropolitan
585000,Western Metropolitan
757417,Western Metropolitan
1631000,Western Metropolitan
757417,Western Metropolitan
650000,Western Metropolitan
725000,Western Metropolitan
665000,Western Metropolitan
560500,Western Metropolitan
615000,Western Metropolitan
845000,Western Metropolitan
585000,Western Metropolitan
440000,Western Metropolitan
850000,Western Metropolitan
775000,Western Metropolitan
850000,Western Metropolitan
705000,Western Metropolitan
1100000,Western Metropolitan
710000,Western Metropolitan
892500,Western Metropolitan
730000,Western Metropolitan
790000,Western Metropolitan
695000,Western Metropolitan
855000,Western Metropolitan
522500,Western Metropolitan
990000,Western Metropolitan
680000,Western Metropolitan
500000,Western Metropolitan
550000,Western Metropolitan
730000,Western Metropolitan
875000,Western Metropolitan
1012419,Western Metropolitan
850000,Western Metropolitan
635000,Western Metropolitan
762000,Western Metropolitan
1215000,Western Metropolitan
610000,Western Metropolitan
815000,Western Metropolitan
820000,Western Metropolitan
411000,Western Metropolitan
790000,Western Metropolitan
605000,Western Metropolitan
805000,Western Metropolitan
890000,Western Metropolitan
795000,Western Metropolitan
634000,Western Metropolitan
642000,Western Metropolitan
730000,Western Metropolitan
863000,Western Metropolitan
740000,Western Metropolitan
1819000,Southern Metropolitan
410000,Southern Metropolitan
1284214,Southern Metropolitan
1015000,Southern Metropolitan
1284214,Southern Metropolitan
438000,Southern Metropolitan
589147,Southern Metropolitan
502500,Southern Metropolitan
520000,Southern Metropolitan
442000,Southern Metropolitan
589147,Southern Metropolitan
1193000,Southern Metropolitan
416000,Southern Metropolitan
820000,Southern Metropolitan
474000,Southern Metropolitan
981000,Southern Metropolitan
1690000,Southern Metropolitan
1284214,Southern Metropolitan
540000,Southern Metropolitan
1080000,Southern Metropolitan
500000,Southern Metropolitan
497500,Southern Metropolitan
1578289,Southern Metropolitan
2100000,Southern Metropolitan
1800000,Southern Metropolitan
1255000,Southern Metropolitan
1070000,Southern Metropolitan
2200000,Southern Metropolitan
2290000,Southern Metropolitan
2570000,Southern Metropolitan
2400000,Southern Metropolitan
2200000,Southern Metropolitan
3250000,Southern Metropolitan
806000,Southern Metropolitan
4000000,Southern Metropolitan
1215000,Southern Metropolitan
2250000,Southern Metropolitan
450000,Southern Metropolitan
1400000,Southern Metropolitan
2249415,Southern Metropolitan
812000,Southern Metropolitan
1578289,Southern Metropolitan
1140000,Southern Metropolitan
2330000,Southern Metropolitan
2800000,Southern Metropolitan
2249415,Southern Metropolitan
859351,Southern Metropolitan
605000,Southern Metropolitan
1255000,Southern Metropolitan
1850000,Southern Metropolitan
859351,Southern Metropolitan
2249415,Southern Metropolitan
805000,Southern Metropolitan
2000000,Southern Metropolitan
1578289,Southern Metropolitan
2249415,Southern Metropolitan
700000,Southern Metropolitan
2130000,Southern Metropolitan
500000,Southern Metropolitan
2125000,Southern Metropolitan
859351,Southern Metropolitan
648000,Southern Metropolitan
1800000,Southern Metropolitan
1020000,Southern Metropolitan
635000,Southern Metropolitan
1578289,Southern Metropolitan
2350000,Southern Metropolitan
1500000,Southern Metropolitan
1900000,Southern Metropolitan
526000,Southern Metropolitan
390000,Southern Metropolitan
1578289,Southern Metropolitan
2950000,Southern Metropolitan
905000,Southern Metropolitan
1750000,Southern Metropolitan
760000,Southern Metropolitan
550000,Southern Metropolitan
3180000,Southern Metropolitan
1367000,Southern Metropolitan
788000,Southern Metropolitan
3600000,Southern Metropolitan
2550000,Southern Metropolitan
1050000,Southern Metropolitan
3350000,Southern Metropolitan
1400000,Southern Metropolitan
2946481,Southern Metropolitan
662500,Southern Metropolitan
3270000,Southern Metropolitan
2946481,Southern Metropolitan
1280000,Southern Metropolitan
625000,Southern Metropolitan
700000,Southern Metropolitan
2249415,Southern Metropolitan
1920000,Southern Metropolitan
2249415,Southern Metropolitan
1578289,Southern Metropolitan
859351,Southern Metropolitan
1860000,Southern Metropolitan
2730000,Southern Metropolitan
2410000,Southern Metropolitan
2530000,Southern Metropolitan
859351,Southern Metropolitan
1578289,Southern Metropolitan
2020000,Southern Metropolitan
460000,Southern Metropolitan
2250000,Southern Metropolitan
1053000,Southern Metropolitan
1800000,Southern Metropolitan
2249415,Southern Metropolitan
1472000,Southern Metropolitan
2120000,Southern Metropolitan
1578289,Southern Metropolitan
1800000,Southern Metropolitan
1910000,Southern Metropolitan
754000,Southern Metropolitan
2249415,Southern Metropolitan
1605000,Southern Metropolitan
1578289,Southern Metropolitan
2946481,Southern Metropolitan
3000000,Southern Metropolitan
2946481,Southern Metropolitan
3400000,Southern Metropolitan
1578289,Southern Metropolitan
2946481,Southern Metropolitan
2249415,Southern Metropolitan
1490000,Southern Metropolitan
905000,Southern Metropolitan
2249415,Southern Metropolitan
2188000,Southern Metropolitan
755000,Southern Metropolitan
859351,Southern Metropolitan
2900000,Southern Metropolitan
1947000,Southern Metropolitan
2249415,Southern Metropolitan
2249415,Southern Metropolitan
3290000,Southern Metropolitan
2665000,Southern Metropolitan
859351,Southern Metropolitan
1801000,Southern Metropolitan
1100000,Southern Metropolitan
2249415,Southern Metropolitan
2946481,Southern Metropolitan
2410000,Southern Metropolitan
650000,Southern Metropolitan
2946481,Southern Metropolitan
859351,Southern Metropolitan
2249415,Southern Metropolitan
1820000,Southern Metropolitan
2275000,Southern Metropolitan
2810000,Southern Metropolitan
1385000,Southern Metropolitan
2249415,Southern Metropolitan
2946481,Southern Metropolitan
2946481,Southern Metropolitan
2000000,Southern Metropolitan
1900000,Southern Metropolitan
859351,Southern Metropolitan
2249415,Southern Metropolitan
3401000,Southern Metropolitan
859351,Southern Metropolitan
1750000,Southern Metropolitan
2249415,Southern Metropolitan
4000000,Southern Metropolitan
1578289,Southern Metropolitan
2250000,Southern Metropolitan
2249415,Southern Metropolitan
1810000,Southern Metropolitan
1100000,Southern Metropolitan
3020000,Southern Metropolitan
1578289,Southern Metropolitan
2450000,Southern Metropolitan
2249415,Southern Metropolitan
730000,Southern Metropolitan
1530000,Southern Metropolitan
1578289,Southern Metropolitan
3900000,Southern Metropolitan
1500000,Southern Metropolitan
1850000,Southern Metropolitan
2946481,Southern Metropolitan
1700000,Southern Metropolitan
1010000,Southern Metropolitan
1315000,Southern Metropolitan
1500000,Southern Metropolitan
3230000,Southern Metropolitan
1080000,Southern Metropolitan
1450000,Southern Metropolitan
1305000,Southern Metropolitan
1350000,Southern Metropolitan
1905000,Southern Metropolitan
3300000,Southern Metropolitan
1900000,Southern Metropolitan
2251000,Southern Metropolitan
2209152,Southern Metropolitan
1553908,Southern Metropolitan
2160000,Southern Metropolitan
2205000,Southern Metropolitan
1265000,Southern Metropolitan
1975000,Southern Metropolitan
2209152,Southern Metropolitan
2000000,Southern Metropolitan
1750000,Southern Metropolitan
1450000,Southern Metropolitan
2614000,Southern Metropolitan
1825000,Southern Metropolitan
2550000,Southern Metropolitan
1926869,Southern Metropolitan
1570000,Southern Metropolitan
1553908,Southern Metropolitan
3250000,Southern Metropolitan
1926869,Southern Metropolitan
1750000,Southern Metropolitan
1150000,Southern Metropolitan
1926869,Southern Metropolitan
1553908,Southern Metropolitan
1575000,Southern Metropolitan
1926869,Southern Metropolitan
920000,Southern Metropolitan
1572000,Southern Metropolitan
1926869,Southern Metropolitan
1075750,Southern Metropolitan
1500000,Southern Metropolitan
1400000,Southern Metropolitan
1926869,Southern Metropolitan
1750000,Southern Metropolitan
1850000,Southern Metropolitan
2209152,Southern Metropolitan
1480000,Southern Metropolitan
1400000,Southern Metropolitan
2130000,Southern Metropolitan
1050000,Southern Metropolitan
3690000,Southern Metropolitan
709000,Southern Metropolitan
1553908,Southern Metropolitan
1926869,Southern Metropolitan
1740000,Southern Metropolitan
1553908,Southern Metropolitan
2575000,Southern Metropolitan
1388800,Southern Metropolitan
1702000,Southern Metropolitan
1800000,Southern Metropolitan
3300000,Southern Metropolitan
2910000,Southern Metropolitan
1400000,Southern Metropolitan
860000,Southern Metropolitan
1553908,Southern Metropolitan
1670000,Southern Metropolitan
1500000,Southern Metropolitan
2200000,Southern Metropolitan
1150000,Southern Metropolitan
1350000,Southern Metropolitan
1926869,Southern Metropolitan
2070000,Southern Metropolitan
1300000,Southern Metropolitan
2190000,Southern Metropolitan
1700000,Southern Metropolitan
1750000,Southern Metropolitan
980000,Southern Metropolitan
