Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname,Propertycount
Abbotsford,18a Mollison St,2,t,745000,S,Jellis,2016-10-08T00:00:00Z,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan,4019
Abbotsford,6/241 Nicholson St,1,u,300000,S,Biggin,2016-10-08T00:00:00Z,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan,4019
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,2016-10-08T00:00:00Z,2.5,3067,3,1,2,220,1900,Yarra,Northern Metropolitan,4019
Abbotsford,403/609 Victoria St,2,u,542000,S,Dingle,2016-10-08T00:00:00Z,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan,4019
Abbotsford,2 Rich St,2,h,937432,SP,Biggin,2016-12-10T00:00:00Z,2.5,3067,2,1,1,176,1925,Yarra,Northern Metropolitan,4019
Abbotsford,25/84 Trenerry Cr,2,u,760000,SP,Biggin,2016-12-10T00:00:00Z,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan,4019
Abbotsford,106/119 Turner St,1,u,481000,SP,Purplebricks,2016-12-10T00:00:00Z,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan,4019
Abbotsford,411/8 Grosvenor St,2,u,700000,VB,Jellis,2016-11-12T00:00:00Z,2.5,3067,2,2,1,0,1953,Yarra,Northern Metropolitan,4019
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,2016-11-12T00:00:00Z,2.5,3067,3,2,2,214,2005,Yarra,Northern Metropolitan,4019
Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,2016-11-12T00:00:00Z,2.5,3067,2,2,1,0,2009,Yarra,Northern Metropolitan,4019
Abbotsford,22 Park St,4,h,1985000,S,Biggin,2016-11-12T00:00:00Z,2.5,3067,4,2,2,300,1895,Yarra,Northern Metropolitan,4019
Abbotsford,13/84 Trenerry Cr,1,u,500000,S,Biggin,2016-11-12T00:00:00Z,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan,4019
Abbotsford,45 William St,2,h,1172500,S,Biggin,2016-08-13T00:00:00Z,2.5,3067,2,1,1,195,1953,Yarra,Northern Metropolitan,4019
Abbotsford,7/20 Abbotsford St,1,u,441000,SP,Greg,2016-05-14T00:00:00Z,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan,4019
Abbotsford,16 William St,2,h,1310000,S,Jellis,2016-10-15T00:00:00Z,2.5,3067,2,1,2,238,1890,Yarra,Northern Metropolitan,4019
Abbotsford,16/11 Nicholson St,3,u,1237083,PI,Philip,2016-04-16T00:00:00Z,2.5,3067,3,2,2,0,2010,Yarra,Northern Metropolitan,4019
Abbotsford,42 Henry St,3,h,1200000,S,Jellis,2016-07-16T00:00:00Z,2.5,3067,3,2,1,113,1880,Yarra,Northern Metropolitan,4019
Abbotsford,250 Langridge St,2,t,847000,S,Jellis,2016-07-16T00:00:00Z,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan,4019
Abbotsford,16b Mollison St,2,h,937432,PI,Biggin,2016-07-16T00:00:00Z,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan,4019
Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,2016-07-16T00:00:00Z,2.5,3067,2,1,1,138,1890,Yarra,Northern Metropolitan,4019
Abbotsford,196 Nicholson St,3,h,955000,S,Collins,2016-09-17T00:00:00Z,2.5,3067,3,1,0,183,1952,Yarra,Northern Metropolitan,4019
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,2016-09-17T00:00:00Z,2.5,3067,2,1,1,150,1985,Yarra,Northern Metropolitan,4019
Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,2017-03-18T00:00:00Z,2.5,3067,4,2,2,780,1900,Yarra,Northern Metropolitan,4019
Abbotsford,1/1 Mayfield St,3,h,1237083,SP,Nelson,2017-03-18T00:00:00Z,2.5,3067,3,2,1,119,2005,Yarra,Northern Metropolitan,4019
Abbotsford,13/11 Nicholson St,3,t,900000,S,Beller,2017-03-18T00:00:00Z,2.5,3067,3,2,2,0,2010,Yarra,Northern Metropolitan,4019
Abbotsford,138/56 Nicholson St,3,u,1090000,S,Jellis,2017-03-18T00:00:00Z,2.5,3067,3,2,2,4290,1952,Yarra,Northern Metropolitan,4019
Abbotsford,6/219 Nicholson St,2,u,500000,S,Collins,2016-06-18T00:00:00Z,2.5,3067,2,1,1,0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,52a William St,2,h,1100000,PI,Biggin,2016-06-18T00:00:00Z,2.5,3067,2,2,1,124,2013,Yarra,Northern Metropolitan,4019
Abbotsford,49 Park St,2,h,1315000,S,Marshall,2016-11-19T00:00:00Z,2.5,3067,2,1,0,147,1900,Yarra,Northern Metropolitan,4019
Abbotsford,65/80 Trenerry Cr,1,u,480000,S,Biggin,2016-11-19T00:00:00Z,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan,4019
Abbotsford,119/52 Nicholson St,1,u,423500,S,hockingstuart,2016-05-22T00:00:00Z,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan,4019
Abbotsford,8b Park St,4,h,1596400,PI,Biggin,2016-05-22T00:00:00Z,2.5,3067,4,2,2,300,1895,Yarra,Northern Metropolitan,4019
Abbotsford,5/20 Abbotsford St,1,u,426000,SP,Greg,2016-08-22T00:00:00Z,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan,4019
Abbotsford,48 Abbotsford St,3,h,1447500,PI,Nelson,2016-08-22T00:00:00Z,2.5,3067,3,3,1,166,2012,Yarra,Northern Metropolitan,4019
Abbotsford,116/56 Nicholson St,1,u,457000,S,Jellis,2016-08-22T00:00:00Z,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan,4019
Abbotsford,159 Park St,2,h,1135000,S,Nelson,2016-08-22T00:00:00Z,2.5,3067,2,2,2,98,1920,Yarra,Northern Metropolitan,4019
Abbotsford,49/84 Trenerry Cr,2,h,700000,S,Biggin,2016-04-23T00:00:00Z,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan,4019
Abbotsford,31 Turner St,4,h,1542000,S,Collins,2016-09-24T00:00:00Z,2.5,3067,4,3,1,0,1895,Yarra,Northern Metropolitan,4019
Abbotsford,17/1 Abbot St,3,t,962000,SP,Jellis,2017-02-25T00:00:00Z,2.5,3067,3,2,1,331,1952,Yarra,Northern Metropolitan,4019
Abbotsford,166 Gipps St,3,h,1290000,S,Biggin,2017-02-25T00:00:00Z,2.5,3067,3,2,2,147,1952,Yarra,Northern Metropolitan,4019
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,2017-02-25T00:00:00Z,2.5,3067,3,1,1,168,1950,Yarra,Northern Metropolitan,4019
Abbotsford,11/205 Gipps St,1,u,470000,S,Nelson,2016-07-26T00:00:00Z,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan,4019
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,2016-11-27T00:00:00Z,2.5,3067,2,1,0,162,1900,Yarra,Northern Metropolitan,4019
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,2016-11-27T00:00:00Z,2.5,3067,3,2,1,120,1998,Yarra,Northern Metropolitan,4019
Abbotsford,4/328 Johnston St,2,u,937432,PI,Biggin,2016-05-28T00:00:00Z,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan,4019
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,2016-05-28T00:00:00Z,2.5,3067,2,1,0,182,1900,Yarra,Northern Metropolitan,4019
Abbotsford,82/84 Trenerry Cr,2,u,970000,SP,Biggin,2016-05-28T00:00:00Z,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan,4019
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,2016-07-30T00:00:00Z,2.5,3067,2,1,1,172,1930,Yarra,Northern Metropolitan,4019
Abbotsford,22 Park St,4,h,1596400,W,Biggin,2016-07-30T00:00:00Z,2.5,3067,4,2,2,300,1895,Yarra,Northern Metropolitan,4019
Abbotsford,40/80 Trenerry Cr,3,h,927000,S,Biggin,2016-07-30T00:00:00Z,2.5,3067,3,2,1,331,1952,Yarra,Northern Metropolitan,4019
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,2016-09-03T00:00:00Z,13.5,3042,3,2,1,303,2016,Moonee Valley,Western Metropolitan,3464
Airport West,50 Bedford St,3,h,730000,VB,Nelson,2016-12-03T00:00:00Z,13.5,3042,3,2,1,0,1965,Moonee Valley,Western Metropolitan,3464
Airport West,50 Bedford St,3,h,770000,SP,Nelson,2017-03-04T00:00:00Z,13.5,3042,3,2,1,0,1965,Moonee Valley,Western Metropolitan,3464
Airport West,5 Harrington Rd,3,h,766086,S,Brad,2017-03-04T00:00:00Z,13.5,3042,3,1,1,580,1960,Moonee Valley,Western Metropolitan,3464
Airport West,23 Hart St,2,h,603000,S,Nelson,2017-03-04T00:00:00Z,13.5,3042,2,1,1,272,1950,Moonee Valley,Western Metropolitan,3464
Airport West,1/80 Hawker St,3,t,700000,S,Brad,2017-03-04T00:00:00Z,13.5,3042,3,2,2,239,2009,Moonee Valley,Western Metropolitan,3464
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,2017-03-04T00:00:00Z,13.5,3042,2,1,1,290,1980,Moonee Valley,Western Metropolitan,3464
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,2017-03-04T00:00:00Z,13.5,3042,2,1,1,168,2011,Moonee Valley,Western Metropolitan,3464
Airport West,4/9 West Ct,2,t,420000,VB,Barry,2016-06-04T00:00:00Z,13.5,3042,2,1,1,207,1994,Moonee Valley,Western Metropolitan,3464
Airport West,1/36 York St,3,t,500000,VB,Nelson,2016-06-04T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,54 Marshall Rd,3,h,720000,S,Barry,2016-08-06T00:00:00Z,13.5,3042,2,1,1,620,1995,Moonee Valley,Western Metropolitan,3464
Airport West,11 Harrington Rd,6,h,725000,SP,Barry,2016-05-07T00:00:00Z,13.5,3042,6,3,2,976,1980,Moonee Valley,Western Metropolitan,3464
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,2016-05-07T00:00:00Z,13.5,3042,2,1,1,110,2015,Moonee Valley,Western Metropolitan,3464
Airport West,3/19 Hart St,2,u,515000,S,Barry,2016-11-07T00:00:00Z,13.5,3042,2,1,1,141,2013,Moonee Valley,Western Metropolitan,3464
Airport West,81a Roberts Rd,3,h,680000,VB,Nelson,2016-10-08T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,2016-09-10T00:00:00Z,13.5,3042,2,1,1,120,2012,Moonee Valley,Western Metropolitan,3464
Airport West,3 Deidre Ct,3,h,895000,PI,Rendina,2016-09-10T00:00:00Z,13.5,3042,3,1,6,1063,1975,Moonee Valley,Western Metropolitan,3464
Airport West,3/24 Elstone Av,3,u,600000,VB,Nelson,2016-09-10T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,13 Etzel St,3,h,805000,S,Nelson,2016-12-10T00:00:00Z,13.5,3042,3,1,1,0,1950,Moonee Valley,Western Metropolitan,3464
Airport West,37a North St,3,t,760000,PI,Barry,2016-12-10T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,2017-02-11T00:00:00Z,13.5,3042,3,1,1,265,1993,Moonee Valley,Western Metropolitan,3464
Airport West,1/69 Bowes Av,3,u,580000,VB,Nelson,2016-11-12T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,2/9 El Reno Cr,3,h,725000,PI,Ray,2016-11-12T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,145a Victory Rd,2,u,440000,S,Barry,2016-08-13T00:00:00Z,13.5,3042,2,1,1,192,1994,Moonee Valley,Western Metropolitan,3464
Airport West,20 Creswell Av,3,h,970000,S,Barry,2016-05-14T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,2/40 Earl St,3,t,700000,PI,Brad,2016-10-15T00:00:00Z,13.5,3042,3,2,2,165,2009,Moonee Valley,Western Metropolitan,3464
Airport West,2/112 Parer Rd,2,u,509500,SP,Nelson,2016-10-15T00:00:00Z,13.5,3042,2,1,1,207,1994,Moonee Valley,Western Metropolitan,3464
Airport West,180 Parer Rd,3,h,830000,S,Barry,2016-04-16T00:00:00Z,13.5,3042,3,1,2,971,1960,Moonee Valley,Western Metropolitan,3464
Airport West,4/54 Hawker St,2,u,462500,S,Barry,2016-07-16T00:00:00Z,13.5,3042,2,1,1,164,2003,Moonee Valley,Western Metropolitan,3464
Airport West,43 Hillside Gr,3,h,670000,SP,Barry,2016-07-16T00:00:00Z,13.5,3042,3,2,2,657,1980,Moonee Valley,Western Metropolitan,3464
Airport West,174 Parer Rd,2,h,675000,S,Barry,2016-07-16T00:00:00Z,13.5,3042,2,1,1,612,1975,Moonee Valley,Western Metropolitan,3464
Airport West,138 Victory Rd,3,h,1042000,S,Nelson,2016-07-16T00:00:00Z,13.5,3042,3,2,5,612,1950,Moonee Valley,Western Metropolitan,3464
Airport West,75 King St,3,h,910000,S,McDonald,2016-09-17T00:00:00Z,13.5,3042,3,1,1,775,1980,Moonee Valley,Western Metropolitan,3464
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,2016-09-17T00:00:00Z,13.5,3042,5,3,4,531,1980,Moonee Valley,Western Metropolitan,3464
Airport West,7 McNamara Av,3,h,715000,S,Barry,2016-09-17T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,2017-03-18T00:00:00Z,13.5,3042,3,3,2,555,1980,Moonee Valley,Western Metropolitan,3464
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,2017-03-18T00:00:00Z,13.5,3042,3,2,2,422,1995,Moonee Valley,Western Metropolitan,3464
Airport West,106 Parer Rd,3,h,790000,S,Nelson,2017-03-18T00:00:00Z,13.5,3042,3,1,3,614,1980,Moonee Valley,Western Metropolitan,3464
Airport West,1/41 Hillside Gr,2,t,460000,VB,Nelson,2016-06-18T00:00:00Z,13.5,3042,2,1,1,207,1994,Moonee Valley,Western Metropolitan,3464
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,2016-06-18T00:00:00Z,13.5,3042,2,2,1,161,2010,Moonee Valley,Western Metropolitan,3464
Airport West,37 North St,3,t,825000,SP,Barry,2016-11-19T00:00:00Z,13.5,3042,3,2,1,293,1960,Moonee Valley,Western Metropolitan,3464
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,2016-05-22T00:00:00Z,13.5,3042,3,1,1,579,1975,Moonee Valley,Western Metropolitan,3464
Airport West,7/42 York St,3,u,445000,S,Brad,2016-05-22T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,110 Halsey Rd,3,h,805000,S,Barry,2016-08-22T00:00:00Z,13.5,3042,3,1,1,623,1980,Moonee Valley,Western Metropolitan,3464
Airport West,2/13 North St,2,u,510000,S,Nelson,2016-08-22T00:00:00Z,13.5,3042,2,1,1,141,1994,Moonee Valley,Western Metropolitan,3464
Airport West,105a Victory Rd,3,h,612000,S,Nelson,2016-08-22T00:00:00Z,13.5,3042,3,2,1,212,1980,Moonee Valley,Western Metropolitan,3464
Airport West,117 Marshall Rd,3,h,662000,S,Brad,2016-04-23T00:00:00Z,13.5,3042,3,1,2,612,1980,Moonee Valley,Western Metropolitan,3464
Airport West,34 Moorna Dr,4,h,978000,S,Nelson,2016-09-24T00:00:00Z,13.5,3042,4,3,2,532,1975,Moonee Valley,Western Metropolitan,3464
Airport West,2/89 Marshall Rd,3,u,766086,VB,Barry,2017-02-25T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,33 North St,3,h,720000,PI,Nelson,2017-02-25T00:00:00Z,13.5,3042,3,1,1,585,1980,Moonee Valley,Western Metropolitan,3464
Airport West,4/40 McNamara Av,2,u,474000,PI,Barry,2016-07-26T00:00:00Z,13.5,3042,2,1,1,207,1994,Moonee Valley,Western Metropolitan,3464
Airport West,5/93 McNamara Av,2,t,490000,SP,Frank,2016-07-26T00:00:00Z,13.5,3042,2,1,1,207,1994,Moonee Valley,Western Metropolitan,3464
Airport West,2/137 McNamara Av,3,h,405000,S,Ray,2016-06-27T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,1/46 Bowes Av,3,t,715000,S,Barry,2016-11-27T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,1/34 Elstone Av,3,u,671500,S,McDonald,2016-11-27T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,49 Roberts Rd,4,h,765000,S,Prof.,2016-11-27T00:00:00Z,13.5,3042,4,1,2,509,1975,Moonee Valley,Western Metropolitan,3464
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,2016-11-27T00:00:00Z,13.5,3042,4,2,3,628,1975,Moonee Valley,Western Metropolitan,3464
Airport West,22a Walters Av,3,u,820000,S,Nelson,2016-08-28T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,1/145 Parer Rd,3,u,650000,PI,Nelson,2016-07-30T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Airport West,3/35 Walters Av,3,t,552000,SP,Nelson,2016-07-30T00:00:00Z,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan,3464
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,2016-09-03T00:00:00Z,3.3,3206,2,1,0,120,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,85 Richardson St,2,h,1455000,S,Thomson,2016-09-03T00:00:00Z,3.3,3206,2,1,0,159,1907,Port Phillip,Southern Metropolitan,3280
Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,Buxton,2017-03-04T00:00:00Z,3.3,3206,3,2,0,211,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,94 Graham St,3,h,1850000,S,Greg,2017-03-04T00:00:00Z,3.3,3206,3,2,0,128,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,14 Merton St,2,h,1562333,SP,Marshall,2017-03-04T00:00:00Z,3.3,3206,2,1,0,215,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,396 Montague St,2,h,1436000,S,RT,2017-03-04T00:00:00Z,3.3,3206,2,1,0,130,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,9 Boyd St,3,h,2090778,SN,Greg,2016-08-06T00:00:00Z,3.3,3206,2,2,1,336,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,75 Graham St,2,h,1110000,S,Marshall,2016-08-06T00:00:00Z,3.3,3206,1,1,0,147,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,54 Brooke St,2,h,1550000,S,Sotheby's,2016-05-07T00:00:00Z,3.3,3206,2,1,1,167,1907,Port Phillip,Southern Metropolitan,3280
Albert Park,104 Richardson St,4,h,2300000,S,Marshall,2016-05-07T00:00:00Z,3.3,3206,4,2,1,153,1880,Port Phillip,Southern Metropolitan,3280
Albert Park,81 Richardson St,3,h,2090778,S,Marshall,2016-05-07T00:00:00Z,3.3,3206,3,1,2,316,1880,Port Phillip,Southern Metropolitan,3280
Albert Park,4a Mills St,3,t,1550000,VB,Marshall,2016-11-07T00:00:00Z,3.3,3206,3,2,2,718,1911,Port Phillip,Southern Metropolitan,3280
Albert Park,1 Moubray St,3,h,1800000,VB,Greg,2016-11-07T00:00:00Z,3.3,3206,3,2,1,132,1996,Port Phillip,Southern Metropolitan,3280
Albert Park,114 Victoria Av,3,h,2485000,S,Cayzer,2016-10-08T00:00:00Z,3.3,3206,3,2,1,182,1911,Port Phillip,Southern Metropolitan,3280
Albert Park,29 Faussett St,2,h,2120000,S,Greg,2016-09-10T00:00:00Z,3.3,3206,2,1,1,199,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,3 Herbert St,3,h,1800000,VB,Cayzer,2016-09-10T00:00:00Z,3.3,3206,3,1,1,253,1911,Port Phillip,Southern Metropolitan,3280
Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,2016-09-10T00:00:00Z,3.3,3206,3,2,1,90,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,5 Withers St,3,h,2090778,SN,Marshall,2016-09-10T00:00:00Z,3.3,3206,3,1,0,126,1910,Port Phillip,Southern Metropolitan,3280
Albert Park,44 Draper St,2,h,1810000,PI,Greg,2016-12-10T00:00:00Z,3.3,3206,2,1,0,240,1907,Port Phillip,Southern Metropolitan,3280
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,2016-12-10T00:00:00Z,3.3,3206,3,2,1,177,1880,Port Phillip,Southern Metropolitan,3280
Albert Park,31 Richardson St,3,h,1300000,S,hockingstuart,2016-12-10T00:00:00Z,3.3,3206,3,1,0,129,1911,Port Phillip,Southern Metropolitan,3280
Albert Park,4a Gatehouse La,3,h,1370000,S,Greg,2016-06-12T00:00:00Z,3.3,3206,3,2,2,0,2000,Port Phillip,Southern Metropolitan,3280
Albert Park,60 Brooke St,2,h,1000000,S,Cayzer,2016-11-12T00:00:00Z,3.3,3206,2,1,0,288,1907,Port Phillip,Southern Metropolitan,3280
Albert Park,140 Danks St,2,h,1562333,SP,Marshall,2016-08-13T00:00:00Z,3.3,3206,2,1,2,366,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,70 Barrett St,3,h,2575000,S,Greg,2016-10-15T00:00:00Z,3.3,3206,3,2,1,228,1911,Port Phillip,Southern Metropolitan,3280
Albert Park,65 Graham St,2,h,1322500,S,Greg,2016-10-15T00:00:00Z,3.3,3206,2,1,0,149,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,1 Herbert Pl,2,h,1562333,S,hockingstuart,2016-10-15T00:00:00Z,3.3,3206,2,1,1,152,1907,Port Phillip,Southern Metropolitan,3280
Albert Park,364 Montague St,2,h,1562500,S,Greg,2016-10-15T00:00:00Z,3.3,3206,2,1,0,141,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,86 Mills St,3,h,2000000,VB,RT,2016-04-16T00:00:00Z,3.3,3206,3,2,1,211,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,28 Dinsdale St,4,h,2969375,S,Marshall,2016-09-17T00:00:00Z,3.3,3206,3,1,0,236,1880,Port Phillip,Southern Metropolitan,3280
Albert Park,90 Danks St,3,h,2090778,S,Marshall,2017-03-18T00:00:00Z,3.3,3206,3,1,2,300,1911,Port Phillip,Southern Metropolitan,3280
Albert Park,129 Kerferd Rd,3,h,1900000,S,Greg,2017-03-18T00:00:00Z,3.3,3206,3,1,0,209,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,97 Page St,3,h,3010000,S,Greg,2017-03-18T00:00:00Z,3.3,3206,3,2,0,147,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,36 Ashworth St,3,h,2090778,SP,Marshall,2016-06-18T00:00:00Z,3.3,3206,3,1,0,173,1911,Port Phillip,Southern Metropolitan,3280
Albert Park,55 Withers St,4,h,2800000,VB,Cayzer,2016-06-18T00:00:00Z,3.3,3206,4,3,1,327,1910,Port Phillip,Southern Metropolitan,3280
Albert Park,18 Herbert St,3,h,2090778,SN,Cayzer,2016-11-19T00:00:00Z,3.3,3206,3,1,0,169,1911,Port Phillip,Southern Metropolitan,3280
Albert Park,10/140 Kerferd Rd,2,u,647000,S,Greg,2016-05-22T00:00:00Z,3.3,3206,2,1,1,0,1907,Port Phillip,Southern Metropolitan,3280
Albert Park,9 Merton Pl,3,h,2090778,SP,Marshall,2016-05-22T00:00:00Z,3.3,3206,3,2,1,122,1911,Port Phillip,Southern Metropolitan,3280
Albert Park,55 Merton St,3,h,2100000,SP,Marshall,2016-04-23T00:00:00Z,3.3,3206,2,1,1,120,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,16 Dinsdale St,3,h,2090778,S,Greg,2016-09-24T00:00:00Z,3.3,3206,3,2,1,241,1990,Port Phillip,Southern Metropolitan,3280
Albert Park,51 Graham St,2,h,1562333,PI,Marshall,2016-09-24T00:00:00Z,3.3,3206,2,2,1,225,1907,Port Phillip,Southern Metropolitan,3280
Albert Park,49 Page St,3,h,2000000,PI,Marshall,2016-09-24T00:00:00Z,3.3,3206,3,1,1,238,1890,Port Phillip,Southern Metropolitan,3280
