Year,Suburb,avg_price
2017,BLACKBURN,1325028
2017,BLACKBURN NORTH,1121932
2017,BLACKBURN SOUTH,1087251
2017,BONBEACH,1078200
2017,BORONIA,763145
2017,BOX HILL,1281972
2017,BRAYBROOK,679996
2017,BRIAR HILL,743075
2017,BRIGHTON,2057177
2017,BRIGHTON EAST,1607637
2017,BROADMEADOWS,538847
2017,BROOKFIELD,456000
2017,BROOKLYN,634761
2017,BRUNSWICK,1009928
2017,BRUNSWICK EAST,858248
2017,BRUNSWICK WEST,819052
2017,BULLEEN,1167096
2017,BUNDOORA,806300
2017,BURNLEY,1022500
2017,BURNSIDE,618750
2017,BURNSIDE HEIGHTS,575050
2017,BURWOOD,1251619
2017,BURWOOD EAST,1080599
2017,CAIRNLEA,676824
2017,CAMBERWELL,1946663
2017,CAMPBELLFIELD,650000
2017,CANTERBURY,2452543
2017,CARLTON,1035741
2017,CARLTON NORTH,1491403
2017,CARNEGIE,949317
2017,CAROLINE SPRINGS,631880
2017,CARRUM,723195
2017,CARRUM DOWNS,545879
2017,CAULFIELD,543119
2017,CAULFIELD EAST,889956
2017,CAULFIELD NORTH,1047321
2017,CAULFIELD SOUTH,1259521
2017,CHADSTONE,989655
2017,CHELSEA,802762
2017,CHELSEA HEIGHTS,749625
2017,CHELTENHAM,999876
2017,CHIRNSIDE PARK,911982
2017,CLARINDA,891144
2017,CLAYTON,1184557
2017,CLAYTON SOUTH,839936
2017,CLIFTON HILL,1243963
2017,COBURG,939745
2017,COBURG NORTH,792482
2017,COLLINGWOOD,905951
2017,COOLAROO,440500
2017,CRAIGIEBURN,554918
2017,CRANBOURNE,576402
2017,CRANBOURNE NORTH,585000
2017,CREMORNE,995330
2017,CROYDON,882236
2017,CROYDON HILLS,904736
2017,CROYDON NORTH,801125
2017,CROYDON SOUTH,910000
2017,DALLAS,439286
2017,DANDENONG,583888
2017,DANDENONG NORTH,630866
2017,DEEPDENE,1715000
2017,DEER PARK,594819
2017,DELAHEY,538944
2017,DERRIMUT,753000
2017,DIAMOND CREEK,777423
2017,DIGGERS REST,482333
2017,DINGLEY VILLAGE,898159
2017,DOCKLANDS,696667
2017,DONCASTER,1270182
2017,DONCASTER EAST,1335007
2017,DONVALE,1235561
2017,DOREEN,494500
2017,DOVETON,490530
2017,EAGLEMONT,1863827
2017,EAST MELBOURNE,1313109
2017,EDITHVALE,927400
2017,ELSTERNWICK,1249114
2017,ELTHAM,882190
2017,ELTHAM NORTH,894028
2017,ELWOOD,1003735
2017,EMERALD,655000
2017,ENDEAVOUR HILLS,670250
2017,EPPING,571892
2017,ESSENDON,1086658
2017,ESSENDON NORTH,892417
2017,ESSENDON WEST,1259948
2017,FAIRFIELD,1141343
2017,FAWKNER,688855
2017,FERNTREE GULLY,822403
2017,FITZROY,1383749
2017,FITZROY NORTH,1248362
2017,FLEMINGTON,881998
2017,FOOTSCRAY,693239
2017,FOREST HILL,975801
2017,FRANKSTON,650000
2017,FRANKSTON NORTH,512500
2017,FRANKSTON SOUTH,1091596
2017,GARDENVALE,1250000
2017,GISBORNE,623153
2017,GLADSTONE PARK,659492
2017,GLEN HUNTLY,666881
2017,GLEN IRIS,1628148
2017,GLEN WAVERLEY,1346848
2017,GLENROY,689086
2017,GOWANBRAE,781267
2017,GREENSBOROUGH,825871
2017,GREENVALE,737095
2017,HADFIELD,738836
2017,HALLAM,780900
2017,HAMPTON,1659736
2017,HAMPTON EAST,1043429
2017,HAMPTON PARK,579786
2017,HAWTHORN,1428426
2017,HAWTHORN EAST,1533477
2017,HEALESVILLE,650000
2017,HEATHMONT,960875
2017,HEIDELBERG,934102
2017,HEIDELBERG HEIGHTS,792785
2017,HEIDELBERG WEST,678904
2017,HIGHETT,1165100
2017,HILLSIDE,653653
2017,HOPPERS CROSSING,549979
2017,HUGHESDALE,1076150
2017,HUNTINGDALE,1064829
2017,HURSTBRIDGE,790000
2017,IVANHOE,1332689
2017,IVANHOE EAST,1866328
2017,JACANA,551908
2017,KEALBA,639101
2017,KEILOR,793962
2017,KEILOR DOWNS,659764
2017,KEILOR EAST,880817
2017,KEILOR LODGE,660000
2017,KEILOR PARK,728733
2017,KENSINGTON,822097
2017,KEW,1868142
2017,KEW EAST,1693556
2017,KEYSBOROUGH,817125
2017,KILSYTH,758500
2017,KINGS PARK,550240
2017,KINGSBURY,737250
2017,KINGSVILLE,843744
2017,KNOXFIELD,953400
2017,KOOYONG,1622310
2017,KURUNJANG,351583
2017,LALOR,628993
2017,LANGWARRIN,631936
2017,LOWER PLENTY,835750
2017,MAIDSTONE,701839
2017,MALVERN,2072348
2017,MALVERN EAST,1623040
2017,MARIBYRNONG,879975
2017,MCKINNON,1372022
2017,MEADOW HEIGHTS,485169
2017,MELBOURNE,749883
2017,MELTON,415677
2017,MELTON SOUTH,376257
2017,MELTON WEST,431769
2017,MENTONE,963688
2017,MERNDA,616646
2017,MICKLEHAM,530000
2017,MIDDLE PARK,2305614
2017,MILL PARK,644663
2017,MITCHAM,982307
2017,MONT ALBERT,1695305
2017,MONTMORENCY,863451
2017,MONTROSE,735000
2017,MOONEE PONDS,1158886
2017,MOORABBIN,1070446
2017,MOOROOLBARK,744907
2017,MORDIALLOC,1008038
2017,MOUNT EVELYN,567500
2017,MOUNT WAVERLEY,1378067
2017,MULGRAVE,1152426
2017,MURRUMBEENA,1031176
2017,NARRE WARREN,648931
2017,NEW GISBORNE,690000
2017,NEWPORT,1077277
2017,NIDDRIE,1047703
2017,NOBLE PARK,642816
2017,NORTH MELBOURNE,959182
2017,NORTH WARRANDYTE,1226000
2017,NORTHCOTE,1218103
2017,NOTTING HILL,1076200
2017,NUNAWADING,1008626
2017,OAK PARK,885451
2017,OAKLEIGH,1248566
2017,OAKLEIGH EAST,1034711
2017,OAKLEIGH SOUTH,1057466
2017,OFFICER,559000
2017,ORMOND,1128204
2017,PAKENHAM,488200
2017,PARKDALE,1111052
2017,PARKVILLE,1277328
2017,PASCOE VALE,782882
2017,PATTERSON LAKES,670000
2017,PLUMPTON,625500
2017,POINT COOK,656681
2017,PORT MELBOURNE,1346109
2017,PRAHRAN,1180454
2017,PRESTON,885267
2017,PRINCES HILL,1758667
2017,RESERVOIR,730628
2017,RICHMOND,1104342
2017,RIDDELLS CREEK,892250
2017,RINGWOOD,927870
2017,RINGWOOD EAST,941326
2017,RINGWOOD NORTH,939333
2017,RIPPONLEA,687350
2017,ROSANNA,1027509
2017,ROWVILLE,912740
2017,ROXBURGH PARK,498743
2017,SANDHURST,655000
2017,SANDRINGHAM,1565765
2017,SCORESBY,952791
2017,SEABROOK,593333
2017,SEAFORD,703616
2017,SEAHOLME,1680000
2017,SEDDON,1033097
2017,SKYE,597849
2017,SOUTH KINGSVILLE,785448
2017,SOUTH MELBOURNE,1421036
2017,SOUTH MORANG,628939
2017,SOUTH YARRA,1059700
2017,SOUTHBANK,565985
2017,SPOTSWOOD,903068
2017,SPRINGVALE,751042
2017,SPRINGVALE SOUTH,725000
2017,ST ALBANS,588581
2017,ST HELENA,1029667
2017,ST KILDA,938731
2017,STRATHMORE,1200848
2017,STRATHMORE HEIGHTS,1000000
2017,SUNBURY,525886
2017,SUNSHINE,765777
2017,SUNSHINE NORTH,632382
2017,SUNSHINE WEST,602583
2017,SURREY HILLS,1643466
2017,SYDENHAM,584733
2017,TARNEIT,522379
2017,TAYLORS HILL,652273
2017,TAYLORS LAKES,710253
2017,TEMPLESTOWE,1524641
2017,TEMPLESTOWE LOWER,1228953
2017,THE BASIN,584550
2017,THOMASTOWN,618948
2017,THORNBURY,1051491
2017,TOORAK,1850953
2017,TRAVANCORE,906875
2017,TRUGANINA,521002
2017,TULLAMARINE,574725
2017,VERMONT,1017800
2017,VERMONT SOUTH,1191814
2017,VIEWBANK,1042134
2017,WALLAN,366000
2017,WANTIRNA,941048
2017,WANTIRNA SOUTH,1078376
2017,WARRANDYTE,1132000
2017,WATERWAYS,1248500
2017,WATSONIA,797308
2017,WATSONIA NORTH,764474
2017,WERRIBEE,521862
2017,WEST FOOTSCRAY,761313
2017,WEST MELBOURNE,1060235
2017,WESTMEADOWS,592877
2017,WHEELERS HILL,1258393
2017,WHITTLESEA,520500
2017,WILLIAMS LANDING,555000
2017,WILLIAMSTOWN,1354502
2017,WILLIAMSTOWN NORTH,1020250
2017,WINDSOR,1133404
2017,WOLLERT,536151
2017,WYNDHAM VALE,531950
2017,YALLAMBIE,920164
2017,YARRA GLEN,620000
2017,YARRAVILLE,997882
